time,loop_coherence,mean_memory,baseline_mean_magnitude,full_law_mean_magnitude,baseline_mean_gain,full_law_mean_gain,slip_energy
10.5000,0.994455,0.216711,1.350469,1.071276,1.000000,0.920847,0.010310
10.5500,0.995086,0.202807,1.358079,1.086066,1.000000,0.937267,0.008283
10.6000,0.995629,0.189703,1.365594,1.101397,1.000000,0.953525,0.006692
10.6500,0.996097,0.177376,1.373010,1.117237,1.000000,0.969574,0.005454
10.7000,0.996500,0.165797,1.380321,1.133549,1.000000,0.985371,0.004501
10.7500,0.996848,0.154936,1.387523,1.150296,1.000000,1.000878,0.003777
10.8000,0.997149,0.144760,1.394610,1.167441,1.000000,1.016061,0.003232
10.8500,0.997409,0.135237,1.401578,1.184945,1.000000,1.030892,0.002830
10.9000,0.997634,0.126330,1.408423,1.202768,1.000000,1.045345,0.002536
10.9500,0.997828,0.118007,1.415142,1.220871,1.000000,1.059400,0.002327
11.0000,0.997996,0.110232,1.421732,1.239216,1.000000,1.073039,0.002182
11.0500,0.998142,0.102974,1.428190,1.257763,1.000000,1.086250,0.002084
11.1000,0.998267,0.096200,1.434514,1.276476,1.000000,1.099022,0.002021
11.1500,0.998374,0.089880,1.440703,1.295318,1.000000,1.111348,0.001984
11.2000,0.998466,0.083985,1.446755,1.314253,1.000000,1.123224,0.001965
11.2500,0.998545,0.078487,1.452670,1.333249,1.000000,1.134648,0.001959
11.3000,0.998610,0.073361,1.458448,1.352272,1.000000,1.145620,0.001963
11.3500,0.998665,0.068582,1.464088,1.371290,1.000000,1.156144,0.001972
11.4000,0.998710,0.064126,1.469591,1.390276,1.000000,1.166222,0.001985
11.4500,0.998745,0.059973,1.474958,1.409200,1.000000,1.175860,0.002001
11.5000,0.998771,0.056101,1.480190,1.428036,1.000000,1.185067,0.002019
11.5500,0.998789,0.052493,1.485287,1.446760,1.000000,1.193849,0.002038
11.6000,0.998800,0.049130,1.490252,1.465348,1.000000,1.202215,0.002058
11.6500,0.998802,0.045995,1.495086,1.483779,1.000000,1.210177,0.002079
11.7000,0.998798,0.043074,1.499792,1.502033,1.000000,1.217744,0.002101
11.7500,0.998786,0.040353,1.504370,1.520091,1.000000,1.224927,0.002124
11.8000,0.998767,0.037817,1.508822,1.537936,1.000000,1.231739,0.002149
11.8500,0.998741,0.035455,1.513153,1.555552,1.000000,1.238191,0.002175
11.9000,0.998707,0.033254,1.517362,1.572925,1.000000,1.244295,0.002203
11.9500,0.998666,0.031205,1.521453,1.590043,1.000000,1.250065,0.002232
12.0000,0.998617,0.029297,1.525428,1.606893,1.000000,1.255511,0.002264
12.0500,0.998560,0.027520,1.529290,1.623465,1.000000,1.260647,0.002298
